"Date","ISO","Country","Scale","Note"
17/03/2020,"YEM","Yemen","Localized",
18/03/2020,"ABW","Aruba","National",
18/03/2020,"AFG","Afghanistan","National",
18/03/2020,"AIA","Anguilla","National",
18/03/2020,"ALB","Albania","National",
18/03/2020,"AND","Andorra","National",
18/03/2020,"ARE","United Arab Emirates","National",
18/03/2020,"ARG","Argentina ","National",
18/03/2020,"ARM","Armenia","National",
18/03/2020,"ATG","Antigua and Barbuda","National",
18/03/2020,"AUT","Austria","National",
18/03/2020,"AZE","Azerbaijan","National",
18/03/2020,"BEL","Belgium","National",
18/03/2020,"BFA","Burkina Faso ","National",
18/03/2020,"BGD","Bangladesh","National",
18/03/2020,"BHR","Bahrain","National",
18/03/2020,"BHS","Bahamas","National",
18/03/2020,"BIH","Bosnia and Herzegovina","National",
18/03/2020,"BOL","Bolivia (Plurinational State of)","National",
18/03/2020,"BRA","Brazil","Localized",
18/03/2020,"BTN","Bhutan","National",
18/03/2020,"CAN","Canada","Localized","The ten Provinces and three Territories have mandated closures of educational institutions, with varying dates, which in some cases coincide with the term break and therefore not related to COVID-19. "
18/03/2020,"CHE","Switzerland","National",
18/03/2020,"CHL","Chile","National",
18/03/2020,"CHN","China","National",
18/03/2020,"CIV","Cote d'Ivoire","National",
18/03/2020,"CMR","Cameroon","National",
18/03/2020,"COL","Colombia","National",
18/03/2020,"CRI","Costa Rica","National",
18/03/2020,"CUW","Curaçao","National",
18/03/2020,"CYM","Cayman Islands","National",
18/03/2020,"CYP","Cyprus","National",
18/03/2020,"CZE","Czechia","National",
18/03/2020,"DEU","Germany","National",
18/03/2020,"DNK","Denmark","National",
18/03/2020,"DZA","Algeria","National",
18/03/2020,"ECU","Ecuador","National","Schools in the Coastal area and in the Highlands and Amazonia run on different schedules."
18/03/2020,"EGY","Egypt","National",
18/03/2020,"ESP","Spain","National",
18/03/2020,"EST","Estonia","National",
18/03/2020,"ETH","Ethiopia","National",
18/03/2020,"FIN","Finland","National","Education in the early grades continues in some cases, as well as in general for children with special needs and if considered necessary for the completion of studies."
18/03/2020,"FRA","France","National",
18/03/2020,"FRO","Faroe Islands","National","Education will continue in the early grades in special circumstances, and for the higher grades, when considered necessary for the completion of studies."
18/03/2020,"FSM","Micronesia (Federated States of)","National",
18/03/2020,"GAB","Gabon","National",
18/03/2020,"GBR","United Kingdom of Great Britain and Northern Ireland","Localized",
18/03/2020,"GEO","Georgia","National",
18/03/2020,"GHA","Ghana","National",
18/03/2020,"GMB","Gambia","National",
18/03/2020,"GNB","Guinea-Bissau","National",
18/03/2020,"GNQ","Equatorial Guinea ","National",
18/03/2020,"GRC","Greece","National",
18/03/2020,"GRD","Grenada","National",
18/03/2020,"GTM","Guatemala","National",
18/03/2020,"GUY","Guyana","National",
18/03/2020,"HND","Honduras","National",
18/03/2020,"HRV","Croatia","National",
18/03/2020,"HUN","Hungary","National",
18/03/2020,"IDN","Indonesia","Localized",
18/03/2020,"IND","India","Localized","While no national level announcement has been made, 27 of 28 states and 5 of 8 union territories have announced school closures with some variations in school levels."
18/03/2020,"IRL","Ireland","National",
18/03/2020,"IRN","Iran (Islamic Republic of)","National",
18/03/2020,"IRQ","Iraq","National",
18/03/2020,"ISL","Iceland","Localized","Primary education institutions can remain open, if classes of under 20 children are assured."
18/03/2020,"ISR","Israel","National",
18/03/2020,"ITA","Italy","National",
18/03/2020,"JAM","Jamaica","National",
18/03/2020,"JOR","Jordan","National",
18/03/2020,"JPN","Japan","National",
18/03/2020,"KAZ","Kazakhstan","National",
18/03/2020,"KEN","Kenya","National",
18/03/2020,"KGZ","Kyrgyzstan ","National",
18/03/2020,"KHM","Cambodia","National",
18/03/2020,"KOR","Republic of Korea","National","The 2020 academic year started in early April with 5 weeks delay. Classes are being offered only through distance learning."
18/03/2020,"KWT","Kuwait","National",
18/03/2020,"LBN","Lebanon","National",
18/03/2020,"LBR","Liberia","National",
18/03/2020,"LBY","Libya","National",
18/03/2020,"LCA","Saint Lucia","National",
18/03/2020,"LIE","Liechtenstein","National",
18/03/2020,"LKA","Sri Lanka","National",
18/03/2020,"LTU","Lithuania","National",
18/03/2020,"LUX","Luxembourg","National",
18/03/2020,"LVA","Latvia","National",
18/03/2020,"MAR","Morocco","National",
18/03/2020,"MCO","Monaco","National",
18/03/2020,"MDA","Republic of Moldova","National",
18/03/2020,"MDV","Maldives","National",
18/03/2020,"MKD","North Macedonia","National",
18/03/2020,"MLT","Malta","National",
18/03/2020,"MMR","Myanmar","Localized",
18/03/2020,"MNE","Montenegro ","National",
18/03/2020,"MNG","Mongolia","National","The government mandated school closures on 27 January "
18/03/2020,"MRT","Mauritania ","National",
18/03/2020,"MSR","Montserrat","National",
18/03/2020,"MYS","Malaysia","National",
18/03/2020,"NAM","Namibia  ","National",
18/03/2020,"NLD","Netherlands","National",
18/03/2020,"NOR","Norway","National",
18/03/2020,"OMN","Oman","National",
18/03/2020,"PAK","Pakistan ","National",
18/03/2020,"PAN","Panama","National",
18/03/2020,"PER","Peru","National",
18/03/2020,"PHL","Philippines","National",
18/03/2020,"POL","Poland","National",
18/03/2020,"PRK","Democratic People's Republic of Korea","National",
18/03/2020,"PRT","Portugal","National",
18/03/2020,"PRY","Paraguay ","National",
18/03/2020,"PSE","Palestine","National",
18/03/2020,"QAT","Qatar","National",
18/03/2020,"ROU","Romania","National",
18/03/2020,"RUS","Russian Federation","Localized",
18/03/2020,"RWA","Rwanda ","National",
18/03/2020,"SAU","Saudi Arabia","National",
18/03/2020,"SDN","Sudan","National",
18/03/2020,"SEN","Senegal","National",
18/03/2020,"SJM","Svalbard","National",
18/03/2020,"SLV","El Salvador","National",
18/03/2020,"SMR","San Marino","National",
18/03/2020,"SOM","Somalia","National",
18/03/2020,"SRB","Serbia","National",
18/03/2020,"SUR","Suriname","National",
18/03/2020,"SVK","Slovakia","National",
18/03/2020,"SWE","Sweden","Localized","Closure of all upper secondary educational institutions and universities."
18/03/2020,"SXM","Sint Marteen","National",
18/03/2020,"SYC","Seychelles","Localized",
18/03/2020,"SYR","Syrian Arab Republic","National",
18/03/2020,"THA","Thailand","National",
18/03/2020,"TTO","Trinidad and Tobago","National",
18/03/2020,"TUN","Tunisia","National",
18/03/2020,"TUR","Turkey","National",
18/03/2020,"UKR","Ukraine","National",
18/03/2020,"URY","Uruguay","National",
18/03/2020,"USA","United States of America","Localized",
18/03/2020,"UZB","Uzbekistan","National",
18/03/2020,"VEN","Venezuela","National",
18/03/2020,"VNM","Viet Nam","Localized",
18/03/2020,"YEM","Yemen","Localized",
18/03/2020,"ZAF","South Africa","National",
19/03/2020,"ABW","Aruba","National",
19/03/2020,"AFG","Afghanistan","National",
19/03/2020,"AIA","Anguilla","National",
19/03/2020,"ALB","Albania","National",
19/03/2020,"AND","Andorra","National",
19/03/2020,"ARE","United Arab Emirates","National",
19/03/2020,"ARG","Argentina ","National",
19/03/2020,"ARM","Armenia","National",
19/03/2020,"ATG","Antigua and Barbuda","National",
19/03/2020,"AUT","Austria","National",
19/03/2020,"AZE","Azerbaijan","National",
19/03/2020,"BEL","Belgium","National",
19/03/2020,"BFA","Burkina Faso ","National",
19/03/2020,"BGD","Bangladesh","National",
19/03/2020,"BHR","Bahrain","National",
19/03/2020,"BHS","Bahamas","National",
19/03/2020,"BIH","Bosnia and Herzegovina","National",
19/03/2020,"BOL","Bolivia (Plurinational State of)","National",
19/03/2020,"BRA","Brazil","Localized",
19/03/2020,"BRB","Barbados","National",
19/03/2020,"BTN","Bhutan","National",
19/03/2020,"CAN","Canada","Localized","The ten Provinces and three Territories have mandated closures of educational institutions, with varying dates, which in some cases coincide with the term break and therefore not related to COVID-19. "
19/03/2020,"CHE","Switzerland","National",
19/03/2020,"CHL","Chile","National",
19/03/2020,"CHN","China","National",
19/03/2020,"CIV","Cote d'Ivoire","National",
19/03/2020,"CMR","Cameroon","National",
19/03/2020,"COD","Democratic Republic of the Congo","National",
19/03/2020,"COG","Congo","National",
19/03/2020,"COL","Colombia","National",
19/03/2020,"CRI","Costa Rica","National",
19/03/2020,"CUW","Curaçao","National",
19/03/2020,"CYM","Cayman Islands","National",
19/03/2020,"CYP","Cyprus","National",
19/03/2020,"CZE","Czechia","National",
19/03/2020,"DEU","Germany","National",
19/03/2020,"DNK","Denmark","National",
19/03/2020,"DOM","Dominican Republic","National",
19/03/2020,"DZA","Algeria","National",
19/03/2020,"ECU","Ecuador","National","Schools in the Coastal area and in the Highlands and Amazonia run on different schedules."
19/03/2020,"EGY","Egypt","National",
19/03/2020,"ESP","Spain","National",
19/03/2020,"EST","Estonia","National",
19/03/2020,"ETH","Ethiopia","National",
19/03/2020,"FIN","Finland","National","Education in the early grades continues in some cases, as well as in general for children with special needs and if considered necessary for the completion of studies."
19/03/2020,"FRA","France","National",
19/03/2020,"FRO","Faroe Islands","National","Education will continue in the early grades in special circumstances, and for the higher grades, when considered necessary for the completion of studies."
19/03/2020,"FSM","Micronesia (Federated States of)","National",
19/03/2020,"GAB","Gabon","National",
19/03/2020,"GBR","United Kingdom of Great Britain and Northern Ireland","Localized",
19/03/2020,"GEO","Georgia","National",
19/03/2020,"GHA","Ghana","National",
19/03/2020,"GMB","Gambia","National",
19/03/2020,"GNB","Guinea-Bissau","National",
19/03/2020,"GNQ","Equatorial Guinea ","National",
19/03/2020,"GRC","Greece","National",
19/03/2020,"GRD","Grenada","National",
19/03/2020,"GRL","Greenland","National",
19/03/2020,"GTM","Guatemala","National",
19/03/2020,"GUY","Guyana","National",
19/03/2020,"HND","Honduras","National",
19/03/2020,"HRV","Croatia","National",
19/03/2020,"HUN","Hungary","National",
19/03/2020,"IDN","Indonesia","Localized",
19/03/2020,"IND","India","Localized","While no national level announcement has been made, 27 of 28 states and 5 of 8 union territories have announced school closures with some variations in school levels."
19/03/2020,"IRL","Ireland","National",
19/03/2020,"IRN","Iran (Islamic Republic of)","National",
19/03/2020,"IRQ","Iraq","National",
19/03/2020,"ISL","Iceland","Localized","Primary education institutions can remain open, if classes of under 20 children are assured."
19/03/2020,"ISR","Israel","National",
19/03/2020,"ITA","Italy","National",
19/03/2020,"JAM","Jamaica","National",
19/03/2020,"JOR","Jordan","National",
19/03/2020,"JPN","Japan","National",
19/03/2020,"KAZ","Kazakhstan","National",
19/03/2020,"KEN","Kenya","National",
19/03/2020,"KGZ","Kyrgyzstan ","National",
19/03/2020,"KHM","Cambodia","National",
19/03/2020,"KOR","Republic of Korea","National","The 2020 academic year started in early April with 5 weeks delay. Classes are being offered only through distance learning."
19/03/2020,"KWT","Kuwait","National",
19/03/2020,"LAO","Lao PDR","National",
19/03/2020,"LBN","Lebanon","National",
19/03/2020,"LBR","Liberia","National",
19/03/2020,"LBY","Libya","National",
19/03/2020,"LCA","Saint Lucia","National",
19/03/2020,"LIE","Liechtenstein","National",
19/03/2020,"LKA","Sri Lanka","National",
19/03/2020,"LSO","Lesotho","National","Schools are closed but public primary schools continue feeding schemes, where some pupils get their only meal."
19/03/2020,"LTU","Lithuania","National",
19/03/2020,"LUX","Luxembourg","National",
19/03/2020,"LVA","Latvia","National",
19/03/2020,"MAR","Morocco","National",
19/03/2020,"MCO","Monaco","National",
19/03/2020,"MDA","Republic of Moldova","National",
19/03/2020,"MDV","Maldives","National",
19/03/2020,"MKD","North Macedonia","National",
19/03/2020,"MLI","Mali","National",
19/03/2020,"MLT","Malta","National",
19/03/2020,"MMR","Myanmar","Localized",
19/03/2020,"MNE","Montenegro ","National",
19/03/2020,"MNG","Mongolia","National","The government mandated school closures on 27 January "
19/03/2020,"MRT","Mauritania ","National",
19/03/2020,"MSR","Montserrat","National",
19/03/2020,"MUS","Mauritius","National",
19/03/2020,"MYS","Malaysia","National",
19/03/2020,"NAM","Namibia  ","National",
19/03/2020,"NLD","Netherlands","National",
19/03/2020,"NOR","Norway","National",
19/03/2020,"NPL","Nepal","National",
19/03/2020,"OMN","Oman","National",
19/03/2020,"PAK","Pakistan ","National",
19/03/2020,"PAN","Panama","National",
19/03/2020,"PER","Peru","National",
19/03/2020,"PHL","Philippines","National",
19/03/2020,"POL","Poland","National",
19/03/2020,"PRK","Democratic People's Republic of Korea","National",
19/03/2020,"PRT","Portugal","National",
19/03/2020,"PRY","Paraguay ","National",
19/03/2020,"PSE","Palestine","National",
19/03/2020,"QAT","Qatar","National",
19/03/2020,"ROU","Romania","National",
19/03/2020,"RUS","Russian Federation","Localized",
19/03/2020,"RWA","Rwanda ","National",
19/03/2020,"SAU","Saudi Arabia","National",
19/03/2020,"SDN","Sudan","National",
19/03/2020,"SEN","Senegal","National",
19/03/2020,"SJM","Svalbard","National",
19/03/2020,"SLV","El Salvador","National",
19/03/2020,"SMR","San Marino","National",
19/03/2020,"SOM","Somalia","National",
19/03/2020,"SRB","Serbia","National",
19/03/2020,"SUR","Suriname","National",
19/03/2020,"SVK","Slovakia","National",
19/03/2020,"SWE","Sweden","Localized","Closure of all upper secondary educational institutions and universities."
19/03/2020,"SWZ","Eswatini","National",
19/03/2020,"SXM","Sint Marteen","National",
19/03/2020,"SYC","Seychelles","Localized",
19/03/2020,"SYR","Syrian Arab Republic","National",
19/03/2020,"THA","Thailand","National",
19/03/2020,"TTO","Trinidad and Tobago","National",
19/03/2020,"TUN","Tunisia","National",
19/03/2020,"TUR","Turkey","National",
19/03/2020,"TZA","United Republic of Tanzania","National",
19/03/2020,"UKR","Ukraine","National",
19/03/2020,"URY","Uruguay","National",
19/03/2020,"USA","United States of America","Localized",
19/03/2020,"UZB","Uzbekistan","National",
19/03/2020,"VEN","Venezuela","National",
19/03/2020,"VGB","British Virgin Islands","National",
19/03/2020,"VNM","Viet Nam","Localized",
19/03/2020,"YEM","Yemen","Localized",
19/03/2020,"ZAF","South Africa","National",
20/03/2020,"ABW","Aruba","National",
20/03/2020,"AFG","Afghanistan","National",
20/03/2020,"AIA","Anguilla","National",
20/03/2020,"ALB","Albania","National",
20/03/2020,"AND","Andorra","National",
20/03/2020,"ARE","United Arab Emirates","National",
20/03/2020,"ARG","Argentina ","National",
20/03/2020,"ARM","Armenia","National",
20/03/2020,"ATG","Antigua and Barbuda","National",
20/03/2020,"AUT","Austria","National",
20/03/2020,"AZE","Azerbaijan","National",
20/03/2020,"BEL","Belgium","National",
20/03/2020,"BFA","Burkina Faso ","National",
20/03/2020,"BGD","Bangladesh","National",
20/03/2020,"BHR","Bahrain","National",
20/03/2020,"BHS","Bahamas","National",
20/03/2020,"BIH","Bosnia and Herzegovina","National",
20/03/2020,"BOL","Bolivia (Plurinational State of)","National",
20/03/2020,"BRA","Brazil","Localized",
20/03/2020,"BRB","Barbados","National",
20/03/2020,"BTN","Bhutan","National",
20/03/2020,"BWA","Botswana","National",
20/03/2020,"CAN","Canada","Localized","The ten Provinces and three Territories have mandated closures of educational institutions, with varying dates, which in some cases coincide with the term break and therefore not related to COVID-19. "
20/03/2020,"CHE","Switzerland","National",
20/03/2020,"CHL","Chile","National",
20/03/2020,"CHN","China","National",
20/03/2020,"CIV","Cote d'Ivoire","National",
20/03/2020,"CMR","Cameroon","National",
20/03/2020,"COD","Democratic Republic of the Congo","National",
20/03/2020,"COG","Congo","National",
20/03/2020,"COL","Colombia","National",
20/03/2020,"COM","Comoros","National",
20/03/2020,"CRI","Costa Rica","National",
20/03/2020,"CUW","Curaçao","National",
20/03/2020,"CYM","Cayman Islands","National",
20/03/2020,"CYP","Cyprus","National",
20/03/2020,"CZE","Czechia","National",
20/03/2020,"DEU","Germany","National",
20/03/2020,"DJI","Djibouti","National",
20/03/2020,"DNK","Denmark","National",
20/03/2020,"DOM","Dominican Republic","National",
20/03/2020,"DZA","Algeria","National",
20/03/2020,"ECU","Ecuador","National","Schools in the Coastal area and in the Highlands and Amazonia run on different schedules."
20/03/2020,"EGY","Egypt","National",
20/03/2020,"ESP","Spain","National",
20/03/2020,"EST","Estonia","National",
20/03/2020,"ETH","Ethiopia","National",
20/03/2020,"FIN","Finland","National","Education in the early grades continues in some cases, as well as in general for children with special needs and if considered necessary for the completion of studies."
20/03/2020,"FRA","France","National",
20/03/2020,"FRO","Faroe Islands","National","Education will continue in the early grades in special circumstances, and for the higher grades, when considered necessary for the completion of studies."
20/03/2020,"FSM","Micronesia (Federated States of)","National",
20/03/2020,"GAB","Gabon","National",
20/03/2020,"GBR","United Kingdom of Great Britain and Northern Ireland","National",
20/03/2020,"GEO","Georgia","National",
20/03/2020,"GHA","Ghana","National",
20/03/2020,"GMB","Gambia","National",
20/03/2020,"GNB","Guinea-Bissau","National",
20/03/2020,"GNQ","Equatorial Guinea ","National",
20/03/2020,"GRC","Greece","National",
20/03/2020,"GRD","Grenada","National",
20/03/2020,"GRL","Greenland","National",
20/03/2020,"GTM","Guatemala","National",
20/03/2020,"GUY","Guyana","National",
20/03/2020,"HND","Honduras","National",
20/03/2020,"HRV","Croatia","National",
20/03/2020,"HTI","Haiti","National",
20/03/2020,"HUN","Hungary","National",
20/03/2020,"IDN","Indonesia","Localized",
20/03/2020,"IND","India","Localized","While no national level announcement has been made, 27 of 28 states and 5 of 8 union territories have announced school closures with some variations in school levels."
20/03/2020,"IRL","Ireland","National",
20/03/2020,"IRN","Iran (Islamic Republic of)","National",
20/03/2020,"IRQ","Iraq","National",
20/03/2020,"ISL","Iceland","Localized","Primary education institutions can remain open, if classes of under 20 children are assured."
20/03/2020,"ISR","Israel","National",
20/03/2020,"ITA","Italy","National",
20/03/2020,"JAM","Jamaica","National",
20/03/2020,"JOR","Jordan","National",
20/03/2020,"JPN","Japan","National",
20/03/2020,"KAZ","Kazakhstan","National",
20/03/2020,"KEN","Kenya","National",
20/03/2020,"KGZ","Kyrgyzstan ","National",
20/03/2020,"KHM","Cambodia","National",
20/03/2020,"KOR","Republic of Korea","National","The 2020 academic year started in early April with 5 weeks delay. Classes are being offered only through distance learning."
20/03/2020,"KWT","Kuwait","National",
20/03/2020,"LAO","Lao PDR","National",
20/03/2020,"LBN","Lebanon","National",
20/03/2020,"LBR","Liberia","National",
20/03/2020,"LBY","Libya","National",
20/03/2020,"LCA","Saint Lucia","National",
20/03/2020,"LIE","Liechtenstein","National",
20/03/2020,"LKA","Sri Lanka","National",
20/03/2020,"LSO","Lesotho","National","Schools are closed but public primary schools continue feeding schemes, where some pupils get their only meal."
20/03/2020,"LTU","Lithuania","National",
20/03/2020,"LUX","Luxembourg","National",
20/03/2020,"LVA","Latvia","National",
20/03/2020,"MAR","Morocco","National",
20/03/2020,"MCO","Monaco","National",
20/03/2020,"MDA","Republic of Moldova","National",
20/03/2020,"MDV","Maldives","National",
20/03/2020,"MKD","North Macedonia","National",
20/03/2020,"MLI","Mali","National",
20/03/2020,"MLT","Malta","National",
20/03/2020,"MMR","Myanmar","National",
20/03/2020,"MNE","Montenegro ","National",
20/03/2020,"MNG","Mongolia","National","The government mandated school closures on 27 January "
20/03/2020,"MRT","Mauritania ","National",
20/03/2020,"MSR","Montserrat","National",
20/03/2020,"MUS","Mauritius","National",
20/03/2020,"MYS","Malaysia","National",
20/03/2020,"NAM","Namibia  ","National",
20/03/2020,"NLD","Netherlands","National",
20/03/2020,"NOR","Norway","National",
20/03/2020,"NPL","Nepal","National",
20/03/2020,"OMN","Oman","National",
20/03/2020,"PAK","Pakistan ","National",
20/03/2020,"PAN","Panama","National",
20/03/2020,"PER","Peru","National",
20/03/2020,"PHL","Philippines","National",
20/03/2020,"POL","Poland","National",
20/03/2020,"PRK","Democratic People's Republic of Korea","National",
20/03/2020,"PRT","Portugal","National",
20/03/2020,"PRY","Paraguay ","National",
20/03/2020,"PSE","Palestine","National",
20/03/2020,"QAT","Qatar","National",
20/03/2020,"ROU","Romania","National",
20/03/2020,"RUS","Russian Federation","Localized",
20/03/2020,"RWA","Rwanda ","National",
20/03/2020,"SAU","Saudi Arabia","National",
20/03/2020,"SDN","Sudan","National",
20/03/2020,"SEN","Senegal","National",
20/03/2020,"SJM","Svalbard","National",
20/03/2020,"SLV","El Salvador","National",
20/03/2020,"SMR","San Marino","National",
20/03/2020,"SOM","Somalia","National",
20/03/2020,"SRB","Serbia","National",
20/03/2020,"SSD","South Sudan","National",
20/03/2020,"STP","São Tomé and Príncipe","National",
20/03/2020,"SUR","Suriname","National",
20/03/2020,"SVK","Slovakia","National",
20/03/2020,"SWE","Sweden","Localized","Closure of all upper secondary educational institutions and universities."
20/03/2020,"SWZ","Eswatini","National",
20/03/2020,"SXM","Sint Marteen","National",
20/03/2020,"SYC","Seychelles","Localized",
20/03/2020,"SYR","Syrian Arab Republic","National",
20/03/2020,"TCA","Turks and Caicos Island","National",
20/03/2020,"TCD","Chad","National",
20/03/2020,"TGO","Togo","National",
20/03/2020,"THA","Thailand","National",
20/03/2020,"TTO","Trinidad and Tobago","National",
20/03/2020,"TUN","Tunisia","National",
20/03/2020,"TUR","Turkey","National",
20/03/2020,"TZA","United Republic of Tanzania","National",
20/03/2020,"UGA","Uganda","National",
20/03/2020,"UKR","Ukraine","National",
20/03/2020,"URY","Uruguay","National",
20/03/2020,"USA","United States of America","Localized",
20/03/2020,"UZB","Uzbekistan","National",
20/03/2020,"VEN","Venezuela","National",
20/03/2020,"VGB","British Virgin Islands","National",
20/03/2020,"VNM","Viet Nam","Localized",
20/03/2020,"WSM","Samoa","National",
20/03/2020,"YEM","Yemen","Localized",
20/03/2020,"ZAF","South Africa","National",
20/03/2020,"ZMB","Zambia","National",
21/03/2020,"ABW","Aruba","National",
21/03/2020,"AFG","Afghanistan","National",
21/03/2020,"AIA","Anguilla","National",
21/03/2020,"ALB","Albania","National",
21/03/2020,"AND","Andorra","National",
21/03/2020,"ARE","United Arab Emirates","National",
21/03/2020,"ARG","Argentina ","National",
21/03/2020,"ARM","Armenia","National",
21/03/2020,"ATG","Antigua and Barbuda","National",
21/03/2020,"AUT","Austria","National",
21/03/2020,"AZE","Azerbaijan","National",
21/03/2020,"BEL","Belgium","National",
21/03/2020,"BFA","Burkina Faso ","National",
21/03/2020,"BGD","Bangladesh","National",
21/03/2020,"BHR","Bahrain","National",
21/03/2020,"BHS","Bahamas","National",
21/03/2020,"BIH","Bosnia and Herzegovina","National",
21/03/2020,"BOL","Bolivia (Plurinational State of)","National",
21/03/2020,"BRA","Brazil","Localized",
21/03/2020,"BRB","Barbados","National",
21/03/2020,"BTN","Bhutan","National",
21/03/2020,"BWA","Botswana","National",
21/03/2020,"CAN","Canada","Localized","The ten Provinces and three Territories have mandated closures of educational institutions, with varying dates, which in some cases coincide with the term break and therefore not related to COVID-19. "
21/03/2020,"CHE","Switzerland","National",
21/03/2020,"CHL","Chile","National",
21/03/2020,"CHN","China","National",
21/03/2020,"CIV","Cote d'Ivoire","National",
21/03/2020,"CMR","Cameroon","National",
21/03/2020,"COD","Democratic Republic of the Congo","National",
21/03/2020,"COG","Congo","National",
21/03/2020,"COL","Colombia","National",
21/03/2020,"COM","Comoros","National",
21/03/2020,"CRI","Costa Rica","National",
21/03/2020,"CUW","Curaçao","National",
21/03/2020,"CYM","Cayman Islands","National",
21/03/2020,"CYP","Cyprus","National",
21/03/2020,"CZE","Czechia","National",
21/03/2020,"DEU","Germany","National",
21/03/2020,"DJI","Djibouti","National",
21/03/2020,"DNK","Denmark","National",
21/03/2020,"DOM","Dominican Republic","National",
21/03/2020,"DZA","Algeria","National",
21/03/2020,"ECU","Ecuador","National","Schools in the Coastal area and in the Highlands and Amazonia run on different schedules."
21/03/2020,"EGY","Egypt","National",
21/03/2020,"ESP","Spain","National",
21/03/2020,"EST","Estonia","National",
21/03/2020,"ETH","Ethiopia","National",
21/03/2020,"FIN","Finland","National","Education in the early grades continues in some cases, as well as in general for children with special needs and if considered necessary for the completion of studies."
21/03/2020,"FRA","France","National",
21/03/2020,"FRO","Faroe Islands","National","Education will continue in the early grades in special circumstances, and for the higher grades, when considered necessary for the completion of studies."
21/03/2020,"FSM","Micronesia (Federated States of)","National",
21/03/2020,"GAB","Gabon","National",
21/03/2020,"GBR","United Kingdom of Great Britain and Northern Ireland","National",
21/03/2020,"GEO","Georgia","National",
21/03/2020,"GHA","Ghana","National",
21/03/2020,"GMB","Gambia","National",
21/03/2020,"GNB","Guinea-Bissau","National",
21/03/2020,"GNQ","Equatorial Guinea ","National",
21/03/2020,"GRC","Greece","National",
21/03/2020,"GRD","Grenada","National",
21/03/2020,"GRL","Greenland","National",
21/03/2020,"GTM","Guatemala","National",
21/03/2020,"GUY","Guyana","National",
21/03/2020,"HND","Honduras","National",
21/03/2020,"HRV","Croatia","National",
21/03/2020,"HTI","Haiti","National",
21/03/2020,"HUN","Hungary","National",
21/03/2020,"IDN","Indonesia","Localized",
21/03/2020,"IND","India","Localized","While no national level announcement has been made, 27 of 28 states and 5 of 8 union territories have announced school closures with some variations in school levels."
21/03/2020,"IRL","Ireland","National",
21/03/2020,"IRN","Iran (Islamic Republic of)","National",
21/03/2020,"IRQ","Iraq","National",
21/03/2020,"ISL","Iceland","Localized","Primary education institutions can remain open, if classes of under 20 children are assured."
21/03/2020,"ISR","Israel","National",
21/03/2020,"ITA","Italy","National",
21/03/2020,"JAM","Jamaica","National",
21/03/2020,"JOR","Jordan","National",
21/03/2020,"JPN","Japan","National",
21/03/2020,"KAZ","Kazakhstan","National",
21/03/2020,"KEN","Kenya","National",
21/03/2020,"KGZ","Kyrgyzstan ","National",
21/03/2020,"KHM","Cambodia","National",
21/03/2020,"KOR","Republic of Korea","National","The 2020 academic year started in early April with 5 weeks delay. Classes are being offered only through distance learning."
21/03/2020,"KWT","Kuwait","National",
21/03/2020,"LAO","Lao PDR","National",
21/03/2020,"LBN","Lebanon","National",
21/03/2020,"LBR","Liberia","National",
21/03/2020,"LBY","Libya","National",
21/03/2020,"LCA","Saint Lucia","National",
21/03/2020,"LIE","Liechtenstein","National",
21/03/2020,"LKA","Sri Lanka","National",
21/03/2020,"LSO","Lesotho","National","Schools are closed but public primary schools continue feeding schemes, where some pupils get their only meal."
21/03/2020,"LTU","Lithuania","National",
21/03/2020,"LUX","Luxembourg","National",
21/03/2020,"LVA","Latvia","National",
21/03/2020,"MAR","Morocco","National",
21/03/2020,"MCO","Monaco","National",
21/03/2020,"MDA","Republic of Moldova","National",
21/03/2020,"MDG","Madagascar","National",
21/03/2020,"MDV","Maldives","National",
21/03/2020,"MKD","North Macedonia","National",
21/03/2020,"MLI","Mali","National",
21/03/2020,"MLT","Malta","National",
21/03/2020,"MMR","Myanmar","National",
21/03/2020,"MNE","Montenegro ","National",
21/03/2020,"MNG","Mongolia","National","The government mandated school closures on 27 January "
21/03/2020,"MRT","Mauritania ","National",
21/03/2020,"MSR","Montserrat","National",
21/03/2020,"MUS","Mauritius","National",
21/03/2020,"MYS","Malaysia","National",
21/03/2020,"NAM","Namibia  ","National",
21/03/2020,"NLD","Netherlands","National",
21/03/2020,"NOR","Norway","National",
21/03/2020,"NPL","Nepal","National",
21/03/2020,"OMN","Oman","National",
21/03/2020,"PAK","Pakistan ","National",
21/03/2020,"PAN","Panama","National",
21/03/2020,"PER","Peru","National",
21/03/2020,"PHL","Philippines","National",
21/03/2020,"POL","Poland","National",
21/03/2020,"PRK","Democratic People's Republic of Korea","National",
21/03/2020,"PRT","Portugal","National",
21/03/2020,"PRY","Paraguay ","National",
21/03/2020,"PSE","Palestine","National",
21/03/2020,"QAT","Qatar","National",
21/03/2020,"ROU","Romania","National",
21/03/2020,"RUS","Russian Federation","Localized",
21/03/2020,"RWA","Rwanda ","National",
21/03/2020,"SAU","Saudi Arabia","National",
21/03/2020,"SDN","Sudan","National",
21/03/2020,"SEN","Senegal","National",
21/03/2020,"SJM","Svalbard","National",
21/03/2020,"SLV","El Salvador","National",
21/03/2020,"SMR","San Marino","National",
21/03/2020,"SOM","Somalia","National",
21/03/2020,"SRB","Serbia","National",
21/03/2020,"SSD","South Sudan","National",
