adm0_name,iso3,X,Y,published,sources,info,optional1,optional2,optional3,ObjectId
New Zealand,NZL,170.475567,-43.987216,02.07.2020,"[https://www.gov.uk/foreign-travel-advice/new-zealand/staying-during-coronavirus]
[https://nz.usembassy.gov/covid-19-information/]
[https://www.osac.gov/Content/Browse/Report?subContentTypes=Alerts%2CTravel%20Advisories]","Air New Zealand puts hold on new bookings for flights into country for three weeks (News 18. 08.07.2020). Prime minister lifts COVID-19 measures from 9 June; border closure restrictions to remain  (Reuters, 08.06.2020)

*****International Restrictions: 
The New Zealand border is currently closed to almost all arrivals, with border restrictions remaining in place
New Zealand citizens and residents returning to New Zealand may travel to New Zealand and do not need any formal exemption.
There are a small number of additional, limited exceptions to the ban on travelling to and entering New Zealand. The following people should seek approval from Immigration New Zealand (INZ) using the limited exceptions process:
Partners, dependent children (aged 24 years and under) and legal guardians of New Zealand citizens and residents.
Australian citizens and permanent residents who normally live in New Zealand. 
Essential health workers. 
Other essential workers who are specifically agreed to by the New Zealand Government. 
Samoan and Tongan citizens making essential travel. 
New Zealand-based partners and dependent children (aged 19 years and under) of a work or student visa holder who is in New Zealand. 
Critical humanitarian travel. 
Maritime crew. 
On 12 June, the Government introduced short term and long-term criteria for “Other Essential Workers” requests. Further information on the criteria, as well as full details of the current border closures and exceptions can be found on the INZ website.
. 
*****Transit:
On 19 June the general suspension on transit through New Zealand expired. From 20 June, transit visa waiver and visa waiver nationalities, people transiting to or from Australia and people departing a Pacific country or territory to return home, do not require a transit visa as long as they have a confirmed flight out of New Zealand within 24 hours to a port which will accept them. In most cases, transit passengers must hold an Electronic Travel Authority (ETA) or transit ETA before travel. These are applied for online.

*****Internal restrictions: 
The State of National Emergency has now been lifted. The New Zealand Government has introduced a four-level national COVID-19 alert system. At 2359 local time on Monday 8 June 2020, New Zealand moved to Alert Level 1 meaning people can gather and return to work, school, sports and domestic travel without restriction. New Zealand’s border restrictions remain in place and public health measures remain unchanged (wash hands and high-touch surfaces regularly, stay home if sick, and get tested if symptomatic). Full details on the New Zealand Government’s coronavirus national response alert system and the requirements for each level can be found on the New Zealand Government COVID-19 website. [https://uniteforrecovery.govt.nz/]",20200702,Anyone entering New Zealand is required to undergo quarantine or managed isolation in an approved facility for a minimum of 14 days. Arrivals must then test negative for COVID-19 before entering the community.  This does not apply to passengers in transit.,"COVID-19 negative certification subject to special conditions- testing upon arrival

 All arriving passengers will be required to complete a health registration form. Airlines are required to distribute the form and make cabin announcements. 
Passengers with any COVID-19 symptoms on arrival, will be tested for COVID-19 and be placed in an approved quarantine facility for 14 days or until they have been symptom-free for at least 48 hours. 
",43
Nicaragua,NIC,-85.038304,12.845729,14.07.2020,"[https://www.gov.uk/foreign-travel-advice/nicaragua/staying-during-coronavirus]
[https://www.osac.gov/Content/Browse/Report?subContentTypes=Alerts%2CTravel%20Advisories]
[https://ni.usembassy.gov/covid-19-information/]","Airlines plan to resume commercial flights from August after being suspended because of COVID-19 (Expreso.info, 05.07.2020) Nicaraguan government closes border with Costa Rica (AP, 18.05.2020) 

*****International restrictions:
Flights to and from Nicaragua are currently limited. There have been reports of the land borders being closed at short or no notice. There is currently a requirement to have a “negative for COVID-19” certificate.
Because of the coronavirus pandemic, the authorities have announced that foreigners will be allowed to renew their tourist visas on a month-by-month basis. Extensions will be processed at migration offices throughout the country. Check the Migration Office’s website (Spanish only) [https://www.migob.gob.ni/migracion/ciudadanos-de-otras-nacionalidades-pueden-solicitar-prorrogas-de-estancia-en-todas-las-oficinas-de-migracion/] for requirements.

*****Internal restrictions: 
There are no specific travel restrictions currently in force in Nicaragua. You should follow precautionary health measures and keep up to date with information from your tour operator, transport or accommodation provider, and comply with measures introduced by the authorities. Social distancing measures and other safety precautions should be observed at all times.
",20200714,The Nicaraguan government has not officially imposed any quarantine policies.,"COVID-19 negative certification required. There is currently a requirement to have a “negative for COVID-19” certificate.

Screening measures (thermal screening, questionnaires, interviews) being implemented at the airport.  Passengers required to fill out a health form.",44
Niger,NER,9.403063,17.423744,03.07.2020,"UNHAS
[https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening]
[https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/niger/]
[https://ne.usembassy.gov/health-alert-niger-covid-19-updates-u-s-embassy-niamey-06022020/]
[https://www.gov.uk/foreign-travel-advice/niger/staying-during-coronavirus]","*****International restrictions:
14 day self-isolation is  mandatory. All land borders are closed except for freight transportation. All international flights to and from Niger are suspended,. The suspension does not apply to domestic, sanitary, and military flights. All travellers suspected to be positive for the virus will be held until confirmed in allocated facilities. UNHAS Flights suspended.  
        
Public health requirements for humanitarian flighs [https://humanitarianbooking.wfp.org/en/wfp-aviation/]

*****Internal restrictions:
Business activities may resume provided the mitigation measures outlined below are respected. The nationwide state of emergency has been extended until 11 July. Some lockdown measures remain in place in the country. The closure of educational institutions will be lifted on 1 June, if the health situation improves. The ban on public transport for intercity and suburban travel was lifted on 14 May. All gatherings above 50 people are barred, including family and social gatherings. Social venues, including bars, restaurants and cinema are closed although many restaurants remain open for take away. It is mandatory to wear a mask or mouth cover when out in public in Niamey or Zinder.",20200703,14 day self-isolation is  mandatory.,"COVID-19 negative certification subject to special conditions- testing upon arrival

Upon arrival to Niger, all passengers are required to be tested for COVID-19. ",45
Nigeria,NGA,8.111462,9.619246,13.07.2020,"UNHAS (Sources)
[https://ng.usembassy.gov/u-s-citizen-services/covid-19-information/]
[https://www.gov.uk/foreign-travel-advice/nigeria]","All remaining airports will reopen for commercial operations in one week (Allafrica, 15.07.2020) Several airports in Nigeria will open on July 11 and resume their domestic flights within the country (Reuters, 08.07.2020). Kano ends COVID-19 lockdown restrictions  (Reuters, 02.07.2020). Federal Government approves resumption of domestic flights on 01 July (Punch, 29.06.2020) Government will allow travel between states outside curfew hours from 1 July (Reuters, 29.06.2020)

*****International Restrictions
Commercial flights to and from Nigeria remain very limited. UNHAS Ops still running. All airports in Nigeria are closed to all international commercial flights. The Nigerian Immigration Service announced the resumption of passport and migrant registration on 1 July. Passengers returning to Nigeria must have tested negative for COVID-19 within 2 weeks of their departure to Nigeria, and carry evidence of the test and result. On arrival all passengers will be screened by Port Health Officials and be required to complete a health declaration form and provide full contact details, including their address in Nigeria. Passports will be retained by the Nigerian immigration authorities until the 14 day quarantine period is complete.
All new arrivals are expected to self-isolate at one location in the city of their arrival for 14 days where they will be remotely monitored by the Nigerian authorities. At the end of the 14-day period of self-isolation an exit interview will be conducted by Nigerian authorities. If the authorities are satisfied that there are no indications of COVD-19 they will authorise the release of the retained passport. Anyone that has developed symptoms of coronavirus during their travel will be required to undergo quarantine at a government-monitored hotel.

Public health requirements for humanitarian flighs [https://humanitarianbooking.wfp.org/en/wfp-aviation/]

*****Internal restrictions:
Some domestic flights have resumed as of 8 July. Passengers will be asked to follow a number of additional health procedures, including the following: You must wear a mask or face covering. All passengers’ temperature will be taken on arrival at the airport. You are required to observe social distancing  measures. You will be asked to use hand washing facilities installed outside the airports. Your bags will be sprayed with decontamination fluids. Most states in Nigeria have introduced their own restrictions on movement. All travellers and residents in Nigeria are encouraged to monitor announcements by the Nigerian authorities on further restrictions, which may be introduced at short notice. The Federal Government has relaxed the lockdown restrictions in place in Abuja and Lagos and replaced them with new requirements, including a nationwide daily night time curfew between 10:00pm and 04:00am and the mandatory use of face masks in public.Gatherings of over 20 people outside of work places are prohibited. Places of worship are permitted to hold services, subject to limitations set by state authorities. Visits to public institutions, including government buildings, have been limited. Additional measures include a mandatory requirement to wear face masks in public spaces. Check the Nigerian Centre for Disease Control website  [https://ncdc.gov.ng/] for updates on further guidance on the implications of the lockdown restrictions.",20200713,"All new arrivals are expected to self-isolate at one location in the city of their arrival for 14 days where they will be remotely monitored by the Nigerian authorities. At the end of the 14-day period of self-isolation an exit interview will be conducted by Nigerian authorities. If the authorities are satisfied that there are no indications of COVD-19 they will authorise the release of the retained passport.

Anyone that has developed symptoms of coronavirus during their travel will be required to undergo quarantine at a government-monitored hotel.","COVID-19 negative certification required for entering the country.

Passengers returning to Nigeria must have tested negative for COVID-19 within 2 weeks of their departure to Nigeria, and carry evidence of the test and result.",46
Niue,NIU,-169.85833,-19.05187,28.04.2020,[https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm],"Limited to no flight availability to Niue. . 
Passengers who have been in Australia, Austria, Belgium, Bulgaria, China (People's Rep.), Chinese Taipei, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hong Kong (SAR China), Hungary, Iceland, Ireland (Rep.), Indonesia, Iran, Italy, Japan, Korea (Rep.), Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Macao (SAR China), Netherlands, Norway, Poland, Portugal, Romania, Singapore, Slovakia, Slovenia, Spain, Sweden, Switzerland, Thailand, USA or United Kingdom in the past 14 days are not allowed to enter Niue.
- This does not apply to nationals and resident of Niue and to airline crew.

All travellers who have been in China in the 30 days prior to arrival are not allowed to enter. They must have stayed in a country with no confirmed cases of COVID-19 for at least 14 days before entering Niue and have official medical clearance within three days prior to arrival.
",20200428,,COVID-19 negative certification subject to special conditions,47
Norfolk Island,NFK,167.952344,-29.032574,,,,,,,48
North Macedonia,MKD,21.700791,41.60048,10.07.2020,"[https://www.gov.uk/foreign-travel-advice/north-macedonia/staying-during-coronavirus]
[https://mk.usembassy.gov/covid-19-information/]
[https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening]
[https://www.osac.gov/Content/Report/7d7da50e-41ef-4a96-a276-18e9d898b990]","*****International Restrictions:
Skopje International Airport and St. Paul the Apostle Airport in Ohrid re-opened for commercial flights on Wednesday 1 July 2020. All land border crossings in North Macedonia will be fully open for movement of passengers and vehicles without the need for a PCR test and with no requirement for self- isolation or mandatory state quarantine. Some border crossings in neighbouring countries are still closed and subject to entry requirements.

*****Internal restrictions:
Everyone is required to wear protective face coverings when visiting indoor public spaces, such as markets, post offices, health institutions, shops, banks, including when using public transport. Protective face coverings are also required outside in situations when it is not possible to maintain a safe distance from others such as in green markets and open areas that do not allow for two-meters of physical distance between individuals. This is not obligatory for people staying in their own gardens or balconies, riding a bike, or doing open-air sports. All restaurants, cafés, and bars will be allowed to open with social distancing and other measures in place. Some businesses are allowed to open, including some shops in shopping malls, betting establishments, and grocery stores. They may operate with reduced working hours and limits are placed on the number of people entering shopping facilities at any time. Other businesses including education and training centres for adults, as well as exam centres and driving schools, gyms and outdoor individual sports practices have been allowed to resume work with health & safety conditions. Other measures include cancellation of cultural and sporting events; and closure of schools and universities. Citizens are not allowed to move in public places in groups of more than two people, with the exception of children under the age of 14, if they are accompanied by a parent in the group of two.",20200710,All land border crossings in North Macedonia will be fully open for movement of passengers and vehicles without the need for a PCR test and with no requirement for self- isolation or mandatory state quarantine.,"COVID-19 negative certification not required / not known.
All land border crossings in North Macedonia will be fully open for movement of passengers and vehicles without the need for a PCR test and with no requirement for self- isolation or mandatory state quarantine.",49
Northern Mariana Islands,MNP,145.753646,15.188972,03.07.2020,"[https://www.kayak.com/travel-restrictions/]
[https://governor.gov.mp/news/press-releases/covid-19-public-guidance-cnmi-now-on-community-vulnerability-level-blue/]
[https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening]","*****International restrictions:
The Northern Mariana Islands does not have entry restrictions, but travelers are subject to quarantine on arrival. The Northern Mariana Islands has not restricted entry to travelers, but travelers must complete a Declaration Form online e at [www.governor.gov.mp/covid-19/travel] at least 3 days before arrival. Residents of the Northern Mariana Islands are subject to self-quarantine for 14 days, while foreign visitors will be subject to government quarantine, unless they have a negative PCR test for COVID-19 issued within 3 days of their arrival.

*****Internal restrictions:
The Mariana Islands is at Community Vulnerability Level “BLUE”, which  means: that gatherings of no more than 25 people in a single room or single space are permitted throughout the Commonwealth. All businesses that have facilities open to the general public are now open from 5:00 a.m. to 11:00 p.m. All businesses that  offer food or beverages for on-premises consumption, including bars and restaurants, must serve dine-in customers under social distancing parameters and at 50% of their originally permitted occupancy limit, in accordance with supplemental regulatory guidance from the CHCC-BEH. Bars are permitted to reopen with temperature screening before entry. Curfew Hours are now 12:00 a.m. to 4:00 a.m. Church and worship services can now limit attendance to 50% of allowed occupancy and maintain social distancing and sanitation guidelines.
Gyms remain open. Non-contact recreational activities (such as gym workouts and group excerises) are permitted under strict social distancing and sanitation guidelines.
Mañagaha Island continues to be open to the public so long as social distancing requirements are implemented for both transport vessels and on-island activities. Transport vessels must be subject to constant and consistent disinfection.  
All public beaches and pathways are open only for purposes of exercise and wellness, both physical and mental, and shoreline subsistence fishing such as talåya, rod and reel, and commercial fishing activities, subject to the social distancing requirements stated in these COVID-19 Emergency Directives.
All public parks including the Grotto remain closed to the public.
Hotels, tour operators and tourism industry stakeholders must finalize preparations for thermal monitoring and establish internal Standard Operating Procedures for mitigating risk in preparation for tourist arrivals alongside public health officials. 
Preparations among tourism operators may continue in anticipation of the resumption of flights and guidance should be sought to Federal Officials on the steps necessary to resume international flights ",20200703,All travellers arriving will be subject to screening and 14-day quarantine. Travellers staying for less than 14 days will be allowed to leave before the end of the quarantine period.,"COVID-19 negative certification required for entering the country.

Foreign visitors will be subject to government quarantine, unless they have a negative PCR test for COVID-19 issued within 3 days of their arrival.",50
Norway,NOR,11.478464,61.343111,15.07.2020,"[https://no.usembassy.gov/covid-19-information/]
[https://reopen.europa.eu/en/map/NOR]
[https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening]
[https://www.gov.uk/foreign-travel-advice]","Norway will lift travel restrictions to and from European countries that respect certain criteria regarding their COVID-19 situation from 15 July. (Norwegian Institute of Health 10.07.20). The list of countries can be accessed here (https://www.fhi.no/en/news/2020/grenseapning-i-forbindelse-med-covid-19/). Norway currently allows travel to and from Finland Iceland and the Swedish island of Gotland as of June 15, but is maintaining existing travel restrictions imposed on mainland Sweden due to its higher level of COVID-19 cases. (Reuters, 12.06.2020)

*****International restrictions: 
**From EU: On 15/7/20 Norway has lifted its entry restrictions (that were introduced on 16/3/20) for travellers coming from Schengen and EEA countries, provided that the country of origin meets the epidemiological criteria defined by the Norwegian Institute of Public Health (NIPH). If you're arriving from a country or an area without sufficiently low transmission, you must go into quarantine for 10 days from the day you arrive in Norway. If you are obliged to quarantine, you must present written documentation that you are staying at a registered address in Norway, during the first ten days of your stay. For updated information on countries and measures you can visit the page on the infection control advice for travel and entry quarantine [https://www.fhi.no/en/op/novel-coronavirus-facts-advice/facts-and-general-advice/travel-advice-COVID19/].  The situation is regularly reassessed, and adaptations may apply if the epidemiological situation requires it. Norway does not apply any restrictions to travellers departing from the country.
**Transit: From 15/7/20 transit is possible for citizens of Schengen and EEA countries. For updated information on countries and measures you can visit the page on the infection control advice for travel and entry quarantine [https://www.fhi.no/en/op/novel-coronavirus-facts-advice/facts-and-general-advice/travel-advice-COVID19/].
**Third Country Nationals: Third country nationals may not enter Norway without special exception.

*****Internal restrictions:
Movement throughout the country is allowed. Since 20 April, the Norwegian government has gradually eased restrictions introduced to limit the spread of coronavirus. There are no restrictions on travel within Norway. See the Norwegian Government’s coronavirus website for more detail [https://www.regjeringen.no/en/aktuelt/norway-to-lift-covid-19-restrictions-gradually-and-cautiously/id2697060/]. Social distancing guidance remains in force. There are restrictions on public events and large parts of the hospitality and service sectors. Establishments serving food are allowed to open but social distancing restrictions apply. The Norwegian authorities have issued recommendations that people avoid using public transport unless strictly necessary. You can sign up for official email alerts providing the latest information from the Norwegian government [https://www.regjeringen.no/en/topics/koronavirus-covid-19/id2692388/].",20200715,"All citizens from outside the Nordic countries, apart from Sweden, are subject to 10 days mandatory quarantine when entering Norway. From July 15th quarantine will not be required for tourists from Schengen and EEA countries, provided that the country of origin meets the epidemiological criteria defined by the Norwegian Institute of Public Health (NIPH).","COVID-19 negative certification required for entering the country.

From July 15th you may enter this country without a medical certificate or a negative test",51
Oman,OMN,57.879121,21.990536,02.07.2020,"[https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening]
[https://www.gov.uk/foreign-travel-advice/oman/staying-during-coronavirus]
[https://om.usembassy.gov/covid-19-information/]","Oman will start allowing its citizens to fly outside the country; lockdown in Dhofar and Masirah will remain. (Reuters, 14.07.2020). Some domestic flights resume after being grounded (Time of oman, 02.07.2020). Oman has restricted the entry of all travelers except for nationals of Oman.

*****International restrictions:
All international passenger flights (including transit) are suspended until further notice.  A daily flight will continue to operate between the capital’s Muscat International Airport (MCT) and Khasab Airport (KHS, Musandam governorate), as well as cargo flights.  All non-Omani nationals are barred entry until further notice. This ban includes Gulf Cooperation Council (GCC) citizens and foreign nationals holding valid tourist, business and residency visas. Airport transits remain unaffected. Foreign nationals will be permitted to depart the country during this time, although Omani citizens will not be. Exceptions for Omanis may be made on a case-by-case basis. All cruise ships are also banned from docking at Omani ports. 

*****Internal restrictions: 
Oman has resumed some of its domestic flights between Muscat and some airports of oil fields and commercial helicopters as of 1 July.
The following places are closed across Oman: mosques and other places of worship; events and conferences; all tourist sites (including wadis and picnic areas); all shops in shopping malls (except supermarkets, clinics, pharmacies and opticians); souqs and other traditional markets; restaurants and cafes (including in hotels) except for takeaway/delivery; gyms, spas and hairdressers. The government has stated that no public gatherings, including on beaches, should take place. Restrictions on road travel within Oman, including police checkpoints, might be introduced at short notice. The Oman VS COVID19 twitter account should be monitored for the latest information.

*****Relaxation Measures: 
Certain domestic restrictions have been eased, including the termination of checkpoints, except for those operating on entry and exit points of Muscat province, as well as reopening of certain businesses. Authorities have announced that the following areas will remain under health isolation until at least 29 May: Muscat province; Muttrah province; Commercial market area in the province of Jalan Bani Bu Ali.  The recent amendments will allow the reopening of several businesses including (but not limited to) foreign exchange services, shops selling electronic equipment, automobile parts and repair services, and car rentaloffices, provided they adhere to social distancing guidelines and take health precautions outlined by the authorities.  Access to/from Muscat governorate closed until at least 22.00 on 29 May.  People are encouraged to stay at home unless travelling for essential food or services. Exemptions are made for:employees in the public or private sector who need to be at a certain location to fulfil their duties; ambulance and emergency service vehicles; military and security vehicles; commercial vehicles; and exceptional cases for citizens or residents based on assessment from the authorities manning the checkpoint. All parks, play areas, social gatherings and Friday prayers are banned until further notice. Curfew on minors implemented indicates that all people under the age of 18 must remain indoors from 19.00 to 06.00.  Suspension of all public transport including all buses, ferries, taxis, vans and microbuses until further notice.  Buses and ferries heading to Musandam and the Wilayat of Masirah are exempt from the new restrictions. ",20200702,The Ministry of Health will apply home or institutional quarantine to all travelers entering Oman (only Omani nationals allowed to enter now) for 14 days.,COVID-19 negative certification not required / not known,52
Pakistan,PAK,68.808093,29.37884,14.07.2020,"[https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening]
[https://www.osac.gov/Content/Browse/Report?subContentTypes=Alerts%2CTravel%20Advisories]
[https://pk.usembassy.gov/covid-19-information/]
[https://www.gov.uk/foreign-travel-advice]","Emirate, Ethad, Qatar announced that passengers departing from Pakistan will need to complete a COVID test before departure (OASC, 14.07.2020)

Government lifts lockdown in parts of Islamabad  (RN, 08.07.2020). UAE aviation authority will temporarily suspends flights from Pakistan as of 3 July. (The News, 01.07.2020) 

*****International restrictions: 
Inbound international flights will be allowed by special permission of the Government of Pakistan on a case by case basis. From 30 May, national and foreign airlines will be able to operate outbound commercial international flights from all international airports in Pakistan apart from Gwadar and Turbat.  From 16 May, limited domestic flight operations resumed from Islamabad, Lahore, Karachi, Quetta and Peshawar.
Southwestern Taftan border to reopen to allow trade (AP, 18.06.2020)

*****Internal restrictions:
The Pakistan government has decided to further extend the permission for operating domestic flights to and from six airports of the country till August 31.
The  government of Pakistan allowed restricted domestic schedule and chartered passenger flight operations between Karachi, Islamabad, Lahore, Peshawar and Quetta airports only in accordance with established guidelines, Standard Operating Procedures (SOPs) and prior approval from the competent authority.
However, domestic flights operation to and from the Islamabad international airport for Gilgit and Skardu airports would continue as normal operation.
It further said the domestic schedule and the chartered passenger flight operation from all other airports would remain suspended.
Social distancing and access control measures have been put in place following the resumption of domestic flights at the five airports, including the requirement for those entering the airport to wear a mask and the restriction of meet-and-greet services at the airport. Passengers will also be required to fill in a health declaration form prior to boarding the aircraft.
Pakistani authorities have introduced a number of measures to limit the spread of the virus, including school closures. There are strict restrictions on public gatherings, including religious congregations, events in wedding halls, and sports matches. Across Pakistan, it is now mandatory to wear a face mask in public and not wearing one is punishable by a fine.
Some provincial authorities have introduced additional measures, including requiring residents to stay at home, and closing shops, restaurants and other public places. Some public transport has been suspended. Measures are particularly strict in Sindh. There have been reports of patrols and check points to enforce these measures, and some provinces have reportedly introduced powers to fine or arrest anyone breaking the rules. Some provinces are also imposing compulsory isolation or quarantine for people who have COVID-19 symptoms, or people who have come into contact with others with COVID-19 symptoms. In some cases, local authorities are quarantining specific areas.",20200714,"Passengers will be tested for COVID-19 as soon as possible on arrival at a quarantine facility. Those testing positive will likely remain in quarantine or be moved to a hospital isolation facility, while those testing negative will be released with instructions to self-isolate for 14 days.","COVID-19 negative certification subject to special conditions- testing upon arrival.
Travelers arriving in Pakistan are subject to local health requirements to include COVID-19 testing on arrival and could include isolation or quarantine. 
Passengers departing from Pakistan will need to complete a COVID test before departure:
Emirates announced that effective July 10, outbound passengers from Pakistan must carry a negative PCR certificate issued by a local government approved laboratory to be accepted on the flight.  Certificates must be issued no more than 96 hours before departure.  Emirates did not provide a list of authorized laboratories. Etihad required a negative test within 72 hours of flight departure. Qatar Airways announced that as of July 13 outbound passengers from Pakistan must present a negative test result issued within less than 72 hours of departure.  Children under 12 are exempted from the test if accompanied by family members. Passengers must sign a consent form authorizing the laboratory to directly share the test result with Qatar Airways for authentication. Qatar advises passengers to visit any of the following authorized laboratories below to undergo a medical test at their own expense [see the detail in this link]: https://www.osac.gov/Content/Report/a5c6a187-82e3-4828-a095-192a90dbe16e",53
Palau,PLW,134.56581,7.499895,19.06.2020,"[https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening]
[https://pw.usembassy.gov/wp-content/uploads/sites/282/MOH-Directive-No.-90-20-Authorizing-Isolation-and-Quarantine-Measures.pdf] 
[https://www.gov.uk/foreign-travel-advice/palau]
[https://www.kayak.com/travel-restrictions]","*****International Restrictions: 
All commercial flights have been suspended, while all flights have been suspended from Hong Kong, Macao (both China SAR) and Mainland China until 30 June. 
The authorities have temporarily restricted entry for foreign visitors from or transiting via mainland China, Hong Kong and Macao (both China SAR) in the past 14 days. 
There is widespread disruption on international travel routes to Palau. You should check with your travel provider for updates.

*****Internal restrictions:
Travellers allowed entry will be subject to a comprehensive health screening and a 14-day quarantine upon arrival. ",20200619,"The Ministry of Health shall identify appropriate and adequate facilities, either public or private property to be designated as Quarantine Facilities for exposed persons. If any quarantined person if found to be infected, that person shall be promptly relocated to the appropriate isolation facility. The Alternate Care Site at Kalau Gym in Meyuns, Koror shall be the primary Isolation and care Facility for non-critical persons. ",COVID-19 negative certification not required / not known,54
Palmyra Atoll,UMI,-162.08226,5.887362,,,,,,,55
Panama,PAN,-80.09271,8.520588,29.06.2020,"[https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening]
[https://pa.usembassy.gov/covid-19-information/]
[https://www.gov.uk/foreign-travel-advice/panama/staying-during-coronavirus]","Panama extends suspension of international flights 22JUL20 (Reuters, 17.06.2020)

*****International Restrictions:
Borders are closed to all but citizens and residents with a mandatory two week self-isolation on arrival. There will be no commercial international flights to or from Panama until 22 July 2020 at the earliest. Domestic flights are also suspended. On 19 June 2020, the National Migration Service announced that all documentation (bar banking reference letters and health certificates) that expired between 13 March 2020 and 31 July 2020 will be considered as valid until 31 October 2020. You can find more information on Panama’s National Migration Service website [https://www.migracion.gob.pa/].

*****Internal Restrictions
Panama is currently under a state of emergency, and a curfew is in place. On 19 March 2020, the Panamanian Government began establishing sanitary cordons in different provinces of the country, including Panama City, with checkpoints in various locations. The Panamanian Government may change suddenly the provinces with sanitary cordons, and may introduce other restrictions on movement. These are posted on the Panamanian Ministry of Health Twitter feed [https://twitter.com/minsapma]. You should avoid any unnecessary travel to and from any of the areas included in sanitary cordons. If you urgently need to travel, you will need to show ID and proof of your reason for needing to cross the checkpoint in order to pass, such as evidence of your flight out of Panama. Local authorities may also impose similar restrictions on movement. From 8 June, unless you fall under one of the quarantine exemptions, only women are permitted to leave their homes/accommodation on Mondays, Wednesdays and Fridays and only men are permitted to leave their homes/accommodation on Tuesdays, Thursdays and Saturdays. On those days, you are allowed to leave your homes/accommodation to shop for food and medication for one hour (with a half hour grace period either side) according to the last digit of your passport (although please see below for men with passports ending with 4, 5 or 6 for Saturdays): 0 - 10am (9:30-11:30am); 1 - 1pm (12:30-2:30pm); 2 - 2pm (1:30-3:30pm); 3 - 3pm (2:30-4:30pm); 4 - 4pm (3:30-5:30pm)* (except for men on Saturdays, until 5.00pm); 5 - 5pm (4:30-6:30pm) * (except for men on Saturdays, until 5.00pm); 6 - 6pm (5:30-7:30pm)* (except for men on Saturdays); 7 - 7am (6:30-8:30am); 8 - 8am (7:30-9:30am); 9 - 9am (8:30-10:30am). People over the age of 60 and people with disabilities can shop between 7am and 10am, according to their sex, but regardless of their ID/passport number. You should not leave your accommodation outside of these times unless it is an emergency or you fall under one of the limited exemptions. Children are allowed to be taken out by their parent or guardian during the adult’s allotted hour (based on the last number of the ID). There is a total quarantine from 5pm on Saturdays to 5am on Mondays and no one should leave their homes/accommodation during these times.
Elsewhere, a curfew is in place and you must remain in your homes/accommodation between 7pm and 5am unless you fall under one of the exemptions (eg to access emergency medical care, to travel to a flight or if you work in an exempted industry). 
Places of worship, parks, sports facilities and social areas (including those of buildings and open air areas of private clubs, such as tennis courts, golf and other sporting activities that do not involve physical contact) will open with 25% capacity and social distancing of 2 metres. The Panamanian Ministry of Health has specified that the relaxation in measures does not include social activity in groups, cultural activities, celebrations, beach visits, contact sports or any activity that does not respect social distancing. Children will only be able to leave their homes from 4 pm – 7 pm if accompanied by a parent or guardian. The wearing of masks outside of your accommodation is compulsory nationwide.
On 25 March 2020 the distribution, sale and consumption of alcoholic drinks was banned for the duration of the national state of emergency. The Panamanian government began relaxing this ban on 8 May 2020, with permission granted initially for domestic personal consumption only. From Monday 22 June restrictions on the sale of alcohol will be lifted.
Uber has resumed services in Panama. Yellow taxis have a reduced presence, and do not operate on Sundays. The police and security forces are empowered to enforce restrictions on movements and events due to the current state of emergency. You should follow their instructions. Commercial businesses have been ordered to close, except for supermarkets, pharmacies, health clinics, fuel stations and other key businesses. Supermarkets can have no more than 50 people inside. The Panamanian government began relaxing these restrictions from 13 May 2020, and you should check the Panamanian Ministry of Health Twitter feed for the latest updates [https://twitter.com/minsapma?lang=en].
",20200629,Borders are closed to all but citizens and residents with a mandatory two week self-isolation on arrival. ,"COVID-19 negative certification not required / not known. 

Airport Entry/Exit:Health screening and questionnaires at airports and ports of entry. Passengers who have been to China in the 30 days prior to
arrival may be subject to increased screening. Any traveller displaying flu-like symptoms will be immediately taken to the
Hospital San Miguel Arcangel in the capital Panama City for quarantine.",56
